Customer ID,Customer Name,Total Sales,Order ID_nunique,Order Date_min,Order Date_max,Total Profit,Avg Discount,Preferred Category,Preferred Sub-Category,Recency,Avg_Recency,Cluster,PCA1,PCA2
AA-10315,Alex Avila,5563.5599999999995,5,2014-03-31,2017-06-29,-362.88250000000005,0.09090909090909091,Office Supplies,['Appliances' 'Binders'],186,118.6,1,-0.0036048819018931018,0.4323553011047356
AA-10375,Allen Armold,1056.39,9,2014-04-21,2017-12-11,277.3824,0.08000000000000002,Office Supplies,['Binders' 'Paper'],21,95.0,0,0.5674235384334868,-0.35638748054570996
AA-10480,Andrew Allen,1790.512,4,2014-05-04,2017-04-15,435.8274,0.016666666666666666,Office Supplies,Paper,261,97.9090909090909,1,-0.4653304612048385,1.4639637279381679
AA-10645,Anna Andreadi,5086.9349999999995,6,2014-06-22,2017-11-05,857.8033,0.06388888888888888,['Furniture' 'Office Supplies'],Furnishings,57,72.47058823529412,0,1.1178018339267919,0.782013687278512
AB-10015,Aaron Bergman,886.156,3,2014-02-18,2016-11-10,129.3465,0.06666666666666667,Office Supplies,Storage,417,199.2,1,-1.7699909328272025,1.6167350327482226
AB-10060,Adam Bellavance,7755.62,8,2015-09-18,2017-11-06,2054.5885,0.044444444444444446,Office Supplies,Paper,56,45.88235294117647,3,2.7686464290211177,1.404724623231812
AB-10105,Adrian Barton,14473.571,10,2014-12-20,2017-11-19,5444.8054999999995,0.24,Office Supplies,Binders,43,56.05263157894737,3,5.677416097954951,2.184506352266604
AB-10150,Aimee Bixby,966.71,5,2014-03-05,2017-11-19,313.6597,0.13333333333333333,Office Supplies,Paper,43,123.18181818181819,1,-0.5035978155500603,0.01437940878949026
AB-10165,Alan Barnes,1113.838,8,2014-11-16,2017-12-05,220.813,0.13571428571428573,Office Supplies,['Art' 'Binders' 'Paper'],27,85.76923076923077,0,0.2725747047683651,-0.6140581486738936
AB-10255,Alejandro Ballentine,914.5319999999999,9,2014-07-22,2017-07-17,264.5675,0.1,Office Supplies,Paper,168,83.92307692307692,0,0.32336915385225307,-0.2111328595264934
AB-10600,Ann Blume,1515.862,4,2014-11-18,2017-11-10,-274.9604,0.375,['Office Supplies' 'Technology'],Binders,52,155.42857142857142,1,-1.5026246961966587,-1.6629898655976412
AC-10420,Alyssa Crouse,925.8,3,2014-07-12,2017-05-12,-62.1342,0.32,Office Supplies,Binders,234,258.75,1,-2.343351903716948,-0.4299189553434947
AC-10450,Amy Cox,5527.846,7,2014-10-31,2017-12-19,1366.0098,0.18888888888888888,Office Supplies,Binders,13,143.125,0,1.1487891450873104,0.1974049107956049
AC-10615,Ann Chong,2537.686,5,2015-09-15,2017-12-24,298.8273,0.1111111111111111,Office Supplies,['Accessories' 'Art' 'Binders' 'Furnishings' 'Phones' 'Storage'],8,48.88235294117647,0,0.22952796135413306,-0.007425085700715591
AC-10660,Anna Chung,657.316,5,2014-10-15,2017-03-23,-28.700399999999995,0.18333333333333335,Office Supplies,['Paper' 'Phones'],284,178.0,1,-1.4249204940296825,0.10736221400672419
AD-10180,Alan Dominguez,6106.879999999999,8,2014-11-19,2017-12-01,1869.9294000000002,0.05833333333333333,Office Supplies,Paper,31,100.72727272727273,3,2.119462775970877,1.1853220426248499
AF-10870,Art Ferguson,2052.908,7,2015-12-06,2017-11-19,317.9712,0.2,Office Supplies,Binders,43,47.6,0,0.32194279056512587,-0.8337202692448098
AF-10885,Art Foster,861.5649999999999,4,2014-05-10,2016-11-10,-163.1175,0.2571428571428571,Office Supplies,['Art' 'Binders' 'Bookcases' 'Chairs' 'Phones' 'Storage' 'Supplies'],417,152.5,1,-1.8795017765810318,-0.07085477665952208
AG-10270,Alejandro Grove,2582.898,5,2014-05-13,2017-03-27,732.7399,0.014285714285714287,Office Supplies,Storage,280,80.6923076923077,1,0.08544340455240079,1.551886184574685
